$ cat mtr-report.txt 
################ 159.65.134.117 ##########################
Start: 2021-06-20T14:06:05+0000
HOST: mh-pro-cl-scl-pr-p-2        Loss%   Snt   Last   Avg  Best  Wrst StDev
  9.|-- 100ge8-2.core1.par3.he.ne  0.0%     5  204.5 204.6 204.5 204.7   0.1
 10.|-- 100ge10-2.core1.par2.he.n  0.0%     5  204.4 204.5 204.4 204.5   0.1
 11.|-- choopa.par.franceix.net   40.0%     5  200.4 209.5 200.4 216.7   8.3
 12.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 13.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 14.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 15.|-- 95.179.210.20.vultr.com    0.0%     5  199.9 199.9 199.9 199.9   0.0
################ 217.69.3.42 ##########################
Start: 2021-06-20T14:11:51+0000
HOST: mh-pro-cl-scl-pr-p-2        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 66.203.113.1               0.0%     5    0.4   0.4   0.4   0.4   0.0
  2.|-- 10.10.0.1                  0.0%     5    0.4  13.0   0.2  64.0  28.5
  3.|-- 198.18.202.109             0.0%     5   54.9  55.5  54.8  57.2   1.1
  4.|-- v1103.core1.mia1.he.net    0.0%     5  100.4 100.4 100.3 100.4   0.0
  5.|-- 100ge0-36.core2.tpa1.he.n  0.0%     5  105.3 105.3 105.3 105.4   0.0
  6.|-- 100ge5-2.core1.atl1.he.ne  0.0%     5  129.1 129.0 129.0 129.1   0.1
  7.|-- 100ge0-35.core1.orf1.he.n  0.0%     5  133.5 133.6 133.5 133.7   0.1
  8.|-- 100ge0-36.core1.orf2.he.n  0.0%     5  131.5 130.8 130.6 131.5   0.4
  9.|-- 100ge8-2.core1.par3.he.ne  0.0%     5  204.8 205.2 204.8 205.7   0.4
 10.|-- 100ge10-2.core1.par2.he.n  0.0%     5  204.9 204.9 204.8 205.4   0.2
 11.|-- choopa.par.franceix.net    0.0%     5  200.8 202.9 200.7 208.0   3.2
 12.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 13.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 14.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 15.|-- 217.69.3.42.vultr.com      0.0%     5  200.2 200.2 200.2 200.3   0.1
################ 95.179.209.168 ##########################
Start: 2021-06-20T14:12:05+0000
HOST: mh-pro-cl-scl-pr-p-2        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 66.203.113.1               0.0%     5    0.4   0.4   0.4   0.5   0.0
  2.|-- 10.10.0.1                  0.0%     5    0.4   0.3   0.2   0.4   0.1
  3.|-- 198.18.202.109             0.0%     5   54.7  55.2  54.7  56.1   0.6
  4.|-- v1103.core1.mia1.he.net    0.0%     5  100.4 100.4 100.3 100.5   0.1
  5.|-- 100ge0-35.core2.jax1.he.n 20.0%     5  106.7 107.0 106.7 107.1   0.2
  6.|-- 100ge16-1.core1.atl1.he.n  0.0%     5  129.5 129.5 129.4 129.7   0.1
  7.|-- 100ge0-35.core1.orf1.he.n  0.0%     5  133.4 133.2 133.1 133.4   0.1
  8.|-- 100ge0-36.core1.orf2.he.n  0.0%     5  130.4 130.5 130.4 130.6   0.1
  9.|-- 100ge8-2.core1.par3.he.ne  0.0%     5  204.6 204.6 204.5 204.7   0.1
 10.|-- 100ge10-2.core1.par2.he.n  0.0%     5  204.6 204.6 204.5 204.7   0.1
 11.|-- choopa.par.franceix.net    0.0%     5  200.7 205.6 200.6 213.3   5.3
 12.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 13.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 14.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 15.|-- 95.179.209.168.vultr.com   0.0%     5  199.9 200.0 199.9 200.2   0.1
################ 217.69.15.37 ##########################
Start: 2021-06-20T14:12:18+0000
HOST: mh-pro-cl-scl-pr-p-2        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 66.203.113.1               0.0%     5    0.6   1.8   0.4   7.3   3.1
  2.|-- 10.10.0.1                  0.0%     5    0.2   3.3   0.2  15.2   6.7
  3.|-- 198.18.202.109             0.0%     5   54.8  55.7  54.7  56.5   0.8
  4.|-- v1103.core1.mia1.he.net    0.0%     5  100.3 100.3 100.3 100.5   0.1
  5.|-- 100ge0-35.core2.jax1.he.n 60.0%     5  106.8 107.0 106.8 107.1   0.2
  6.|-- 100ge16-1.core1.atl1.he.n  0.0%     5  129.7 129.5 129.4 129.7   0.1
  7.|-- 100ge0-35.core1.orf1.he.n  0.0%     5  133.3 133.2 133.2 133.3   0.1
  8.|-- 100ge0-36.core1.orf2.he.n  0.0%     5  130.5 130.5 130.4 130.6   0.1
  9.|-- 100ge8-2.core1.par3.he.ne  0.0%     5  204.7 204.6 204.5 204.8   0.1
 10.|-- 100ge10-2.core1.par2.he.n  0.0%     5  204.7 204.6 204.5 204.7   0.1
 11.|-- choopa.par.franceix.net    0.0%     5  200.6 200.5 200.4 200.7   0.1
 12.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 13.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 14.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 15.|-- 217.69.15.37.vultr.com     0.0%     5  200.0 199.9 199.8 200.0   0.1
################ 68.183.38.119 ##########################
Start: 2021-06-20T14:12:31+0000
HOST: mh-pro-cl-scl-pr-p-2        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 66.203.113.1               0.0%     5    0.4   0.4   0.4   0.4   0.0
  2.|-- 10.10.0.1                  0.0%     5    0.2   7.3   0.2  35.0  15.5
  3.|-- 198.18.202.109             0.0%     5   54.8  55.1  54.7  56.2   0.6
  4.|-- v1103.core1.mia1.he.net    0.0%     5  100.4 100.4 100.3 100.5   0.1
  5.|-- 100ge0-35.core2.jax1.he.n 20.0%     5  107.1 107.0 106.9 107.1   0.1
  6.|-- 100ge16-1.core1.atl1.he.n  0.0%     5  129.4 129.7 129.4 130.7   0.6
  7.|-- 100ge3-1.core1.ash1.he.ne  0.0%     5  131.3 137.9 131.3 148.5   8.7
  8.|-- 100ge1-1.core1.nyc4.he.ne  0.0%     5  145.3 142.4 135.9 148.0   6.0
  9.|-- 100ge7-1.core1.lon2.he.ne  0.0%     5  213.8 213.8 213.7 213.9   0.1
 10.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 11.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 12.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 13.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 14.|-- 68.183.38.119              0.0%     5  200.9 201.0 200.9 201.3   0.2
################ 68.183.38.123 ##########################
Start: 2021-06-20T14:12:44+0000
HOST: mh-pro-cl-scl-pr-p-2        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 66.203.113.1               0.0%     5    0.4   0.4   0.4   0.5   0.0
  2.|-- 10.10.0.1                  0.0%     5    0.2   0.4   0.2   0.5   0.1
  3.|-- 198.18.202.109             0.0%     5   54.8  55.0  54.6  56.1   0.6
  4.|-- v1103.core1.mia1.he.net    0.0%     5  100.5 100.5 100.4 100.5   0.1
  5.|-- 100ge0-36.core2.tpa1.he.n  0.0%     5  106.1 106.3 105.2 109.5   1.8
  6.|-- 100ge5-2.core1.atl1.he.ne  0.0%     5  129.0 129.1 129.0 129.3   0.2
  7.|-- 100ge3-1.core1.ash1.he.ne  0.0%     5  132.4 131.9 131.5 132.5   0.5
  8.|-- 100ge1-1.core1.nyc4.he.ne  0.0%     5  136.3 136.2 136.2 136.3   0.0
  9.|-- 100ge7-1.core1.lon2.he.ne  0.0%     5  214.2 214.2 214.1 214.2   0.0
 10.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 11.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 12.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 13.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 14.|-- 68.183.38.123              0.0%     5  201.6 201.6 201.5 201.6   0.0
################ 178.62.92.19 ##########################
Start: 2021-06-20T14:12:56+0000
HOST: mh-pro-cl-scl-pr-p-2        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 66.203.113.1               0.0%     5    0.4   0.4   0.4   0.4   0.0
  2.|-- 10.10.0.1                  0.0%     5    0.2   0.3   0.2   0.5   0.1
  3.|-- 198.18.202.109             0.0%     5   56.0  56.0  54.7  59.2   1.8
  4.|-- v1103.core1.mia1.he.net    0.0%     5  109.1 106.4 100.3 111.0   5.0
  5.|-- 100ge0-35.core2.jax1.he.n 60.0%     5  107.2 107.2 107.1 107.2   0.1
  6.|-- 100ge16-1.core1.atl1.he.n  0.0%     5  129.4 129.4 129.3 129.5   0.1
  7.|-- 100ge3-1.core1.ash1.he.ne  0.0%     5  132.2 132.2 132.1 132.2   0.1
  8.|-- 100ge1-1.core1.nyc4.he.ne  0.0%     5  137.0 137.0 136.9 137.1   0.1
  9.|-- 100ge7-1.core1.lon2.he.ne  0.0%     5  215.0 215.0 214.9 215.1   0.0
 10.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 11.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 12.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 13.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 14.|-- 178.62.92.19               0.0%     5  202.3 202.2 202.1 202.3   0.1
################ 206.189.143.44 ##########################
Start: 2021-06-20T14:13:09+0000
HOST: mh-pro-cl-scl-pr-p-2        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 66.203.113.1               0.0%     5    0.5   0.4   0.4   0.5   0.0
  2.|-- 10.10.0.1                  0.0%     5    0.3  11.9   0.3  58.1  25.8
  3.|-- 195.22.221.78              0.0%     5    0.9   2.7   0.8  10.1   4.1
  4.|-- 89.221.41.177              0.0%     5  104.0 104.0 103.8 104.1   0.1
  5.|-- ix-ae-25-0.tcore2.mln-mia  0.0%     5  107.2 104.8 103.8 107.2   1.5
  6.|-- if-ae-1-2.tcore1.mln-miam  0.0%     5  130.6 130.8 130.6 131.6   0.5
  7.|-- if-ae-7-2.tcore1.aeq-ashb  0.0%     5  130.5 133.6 130.5 143.0   5.3
  8.|-- 63.243.137.133             0.0%     5  131.2 130.7 130.4 131.2   0.3
  9.|-- if-ae-12-2.tcore4.njy-new  0.0%     5  130.9 134.0 130.6 147.5   7.5
 10.|-- if-ae-1-3.tcore3.njy-newa  0.0%     5  130.6 130.4 130.3 130.6   0.2
 11.|-- 209.58.124.6               0.0%     5  320.4 320.4 320.2 320.5   0.1
 12.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 13.|-- 219.65.110.190.static-ban  0.0%     5  344.0 344.4 344.0 345.8   0.8
 14.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
################ 142.93.219.128 ##########################
Start: 2021-06-20T14:13:29+0000
HOST: mh-pro-cl-scl-pr-p-2        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 66.203.113.1               0.0%     5    0.4   0.4   0.4   0.5   0.0
  2.|-- 10.10.0.1                  0.0%     5    0.2   0.2   0.2   0.3   0.0
  3.|-- 195.22.221.78              0.0%     5    0.9   0.8   0.8   0.9   0.1
  4.|-- 89.221.41.175              0.0%     5  104.4 106.6 104.1 116.0   5.3
  5.|-- ix-ae-25-0.tcore2.mln-mia  0.0%     5  104.2 104.2 104.1 104.5   0.1
  6.|-- if-ae-1-2.tcore1.mln-miam  0.0%     5  130.8 130.9 130.7 131.3   0.2
  7.|-- if-ae-7-2.tcore1.aeq-ashb  0.0%     5  130.8 131.0 130.8 131.8   0.4
  8.|-- 63.243.137.133             0.0%     5  131.1 131.4 130.7 132.0   0.5
  9.|-- if-ae-12-2.tcore4.njy-new  0.0%     5  131.2 131.3 131.1 131.4   0.1
 10.|-- if-ae-1-3.tcore3.njy-newa  0.0%     5  134.1 131.6 130.9 134.1   1.4
 11.|-- 209.58.124.6               0.0%     5  321.6 321.1 320.9 321.6   0.3
 12.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 13.|-- 219.65.110.190.static-ban  0.0%     5  344.5 344.5 344.5 344.5   0.0
 14.|-- 138.197.249.1              0.0%     5  344.7 344.8 344.7 344.9   0.1
 15.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
################ 68.183.84.220 ##########################
Start: 2021-06-20T14:13:44+0000
HOST: mh-pro-cl-scl-pr-p-2        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 66.203.113.1               0.0%     5    0.4   0.5   0.4   0.7   0.1
  2.|-- 10.10.0.1                  0.0%     5    0.3   0.3   0.3   0.4   0.1
  3.|-- 195.22.221.78              0.0%     5    0.7   0.9   0.7   1.0   0.1
  4.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  5.|-- ix-ae-25-0.tcore2.mln-mia  0.0%     5  104.3 104.4 104.3 104.5   0.1
  6.|-- if-ae-1-2.tcore1.mln-miam  0.0%     5  131.5 131.4 130.8 132.1   0.5
  7.|-- if-ae-7-2.tcore1.aeq-ashb  0.0%     5  131.9 131.1 130.8 131.9   0.4
  8.|-- 63.243.137.133             0.0%     5  130.6 130.7 130.6 130.8   0.1
  9.|-- if-ae-12-2.tcore4.njy-new  0.0%     5  131.1 134.7 130.9 149.0   8.0
 10.|-- if-ae-1-3.tcore3.njy-newa  0.0%     5  130.8 130.8 130.6 131.1   0.2
 11.|-- 209.58.124.6               0.0%     5  319.3 319.4 319.2 319.6   0.2
 12.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 13.|-- 219.65.110.186.static-ban  0.0%     5  342.5 342.5 342.5 342.6   0.0
 14.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
################ 68.183.92.242 ##########################
Start: 2021-06-20T14:13:57+0000
HOST: mh-pro-cl-scl-pr-p-2        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 66.203.113.1               0.0%     5    0.5   0.5   0.5   0.7   0.1
  2.|-- 10.10.0.1                  0.0%     5    0.3   6.6   0.1  31.8  14.1
  3.|-- 195.22.221.78              0.0%     5    1.2   1.1   0.8   1.3   0.2
  4.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  5.|-- ix-ae-25-0.tcore2.mln-mia  0.0%     5  104.1 105.8 104.0 112.7   3.8
  6.|-- if-ae-1-2.tcore1.mln-miam  0.0%     5  131.4 130.9 130.5 131.4   0.4
  7.|-- if-ae-7-2.tcore1.aeq-ashb  0.0%     5  130.7 131.0 130.6 131.8   0.5
  8.|-- 63.243.137.133             0.0%     5  131.3 131.1 130.5 131.8   0.5
  9.|-- if-ae-12-2.tcore4.njy-new  0.0%     5  130.7 130.8 130.7 130.9   0.1
 10.|-- if-ae-1-3.tcore3.njy-newa  0.0%     5  130.4 130.4 130.4 130.5   0.0
 11.|-- 209.58.124.6               0.0%     5  319.5 319.4 319.2 319.5   0.1
 12.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 13.|-- 219.65.110.190.static-ban  0.0%     5  348.6 344.2 343.0 348.6   2.5
 14.|-- 138.197.249.1              0.0%     5  343.0 343.8 343.0 345.2   1.0
 15.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
################ 142.93.211.113 ##########################
Start: 2021-06-20T14:14:09+0000
HOST: mh-pro-cl-scl-pr-p-2        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 66.203.113.1               0.0%     5    0.4   0.4   0.4   0.4   0.0
  2.|-- 10.10.0.1                  0.0%     5    0.4   0.3   0.2   0.4   0.1
  3.|-- 195.22.221.78              0.0%     5    9.6   3.4   0.7   9.6   3.9
  4.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  5.|-- ix-ae-25-0.tcore2.mln-mia  0.0%     5  104.2 105.0 104.1 107.2   1.3
  6.|-- if-ae-1-2.tcore1.mln-miam  0.0%     5  130.8 130.8 130.7 131.0   0.1
  7.|-- if-ae-7-2.tcore1.aeq-ashb  0.0%     5  130.7 132.0 130.7 135.1   1.8
  8.|-- 63.243.137.133             0.0%     5  131.2 130.9 130.6 131.4   0.4
  9.|-- if-ae-12-2.tcore4.njy-new  0.0%     5  131.4 131.4 131.2 131.6   0.1
 10.|-- if-ae-1-3.tcore3.njy-newa  0.0%     5  130.8 130.8 130.8 130.9   0.0
 11.|-- 209.58.124.6               0.0%     5  316.6 316.7 316.6 316.8   0.1
 12.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 13.|-- 219.65.110.190.static-ban  0.0%     5  340.4 341.0 340.4 343.1   1.2
 14.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
################ 142.93.219.88 ##########################
Start: 2021-06-20T14:14:21+0000
HOST: mh-pro-cl-scl-pr-p-2        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 66.203.113.1               0.0%     5    0.4   0.5   0.4   0.7   0.1
  2.|-- 10.10.0.1                  0.0%     5    0.2   0.3   0.2   0.5   0.1
  3.|-- 195.22.221.78              0.0%     5    0.9   0.9   0.9   1.0   0.1
  4.|-- 89.221.41.175              0.0%     5  105.3 113.3 104.2 148.2  19.5
  5.|-- ix-ae-25-0.tcore2.mln-mia  0.0%     5  106.3 106.0 104.1 110.7   2.8
  6.|-- if-ae-1-2.tcore1.mln-miam  0.0%     5  131.8 131.3 130.8 132.0   0.6
  7.|-- if-ae-7-2.tcore1.aeq-ashb  0.0%     5  131.0 130.9 130.9 131.0   0.0
  8.|-- 63.243.137.133             0.0%     5  130.8 131.2 130.8 132.1   0.6
  9.|-- if-ae-12-2.tcore4.njy-new  0.0%     5  131.5 131.3 131.2 131.5   0.1
 10.|-- if-ae-1-3.tcore3.njy-newa  0.0%     5  131.2 136.0 130.9 155.6  11.0
 11.|-- 209.58.124.6               0.0%     5  319.8 320.2 319.8 321.6   0.8
 12.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 13.|-- 219.65.110.190.static-ban  0.0%     5  343.3 345.2 343.3 352.8   4.2
 14.|-- 138.197.249.1              0.0%     5  343.6 343.5 343.5 343.6   0.1
 15.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
################ 45.76.219.103 ##########################
Start: 2021-06-20T14:14:35+0000
HOST: mh-pro-cl-scl-pr-p-2        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 66.203.113.1               0.0%     5    0.5   0.4   0.4   0.5   0.0
  2.|-- 10.10.0.1                  0.0%     5    1.0   0.5   0.3   1.0   0.3
  3.|-- 198.18.202.109             0.0%     5   54.7  55.7  54.7  56.7   0.8
  4.|-- v1103.core1.mia1.he.net    0.0%     5  100.5 101.1 100.3 103.8   1.5
  5.|-- 100ge11-1.core1.atl1.he.n  0.0%     5  128.3 128.3 128.3 128.4   0.1
  6.|-- 100ge16-1.core1.chi1.he.n  0.0%     5  134.7 134.9 134.7 135.4   0.3
  7.|-- 100ge2-2.core2.chi1.he.ne  0.0%     5  134.8 134.8 134.8 134.9   0.1
  8.|-- 100ge14-2.core1.msp1.he.n  0.0%     5  146.5 152.3 146.2 175.8  13.2
  9.|-- 100ge11-2.core1.sea1.he.n  0.0%     5  147.7 166.0 147.4 239.9  41.4
 10.|-- 100ge11-2.core1.tyo1.he.n  0.0%     5  300.4 300.8 300.4 302.0   0.7
 11.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 12.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 13.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 14.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 15.|-- 45.76.219.103.vultr.com    0.0%     5  255.9 255.8 255.7 255.9   0.1
################ 37.139.27.221 ##########################
Start: 2021-06-20T14:14:47+0000
HOST: mh-pro-cl-scl-pr-p-2        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 66.203.113.1               0.0%     5    0.5   0.5   0.4   0.9   0.2
  2.|-- 10.10.0.1                  0.0%     5    0.3   2.7   0.3  12.0   5.2
  3.|-- 198.18.202.109             0.0%     5   54.8  55.2  54.7  56.9   0.9
  4.|-- v1103.core1.mia1.he.net    0.0%     5  100.4 100.4 100.3 100.5   0.1
  5.|-- 100ge11-1.core1.atl1.he.n  0.0%     5  128.2 128.2 128.2 128.3   0.0
  6.|-- 100ge3-1.core1.ash1.he.ne  0.0%     5  141.0 137.8 130.8 144.7   6.6
  7.|-- 100ge1-1.core1.nyc4.he.ne  0.0%     5  135.5 135.5 135.4 135.6   0.1
  8.|-- 100ge7-1.core1.lon2.he.ne  0.0%     5  213.4 213.4 213.2 213.5   0.1
  9.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 10.|-- 138.197.244.89             0.0%     5  203.5 203.6 203.5 203.8   0.1
 11.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 12.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 13.|-- 37.139.27.221              0.0%     5  203.4 203.4 203.3 203.5   0.1
################ 142.93.229.233 ##########################
Start: 2021-06-20T14:15:01+0000
HOST: mh-pro-cl-scl-pr-p-2        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 66.203.113.1               0.0%     5    0.4   0.4   0.4   0.4   0.0
  2.|-- 10.10.0.1                  0.0%     5    0.3   0.3   0.2   0.3   0.1
  3.|-- 198.18.202.109             0.0%     5   56.7  55.9  54.8  56.7   0.7
  4.|-- v1103.core1.mia1.he.net    0.0%     5  100.4 100.4 100.3 100.4   0.1
  5.|-- 100ge0-36.core2.tpa1.he.n  0.0%     5  105.2 109.3 105.2 125.4   9.0
  6.|-- 100ge5-2.core1.atl1.he.ne  0.0%     5  129.0 129.0 129.0 129.0   0.0
  7.|-- 100ge3-1.core1.ash1.he.ne  0.0%     5  131.5 131.6 131.5 131.6   0.0
  8.|-- 100ge1-1.core1.nyc4.he.ne  0.0%     5  136.3 136.4 136.3 136.5   0.1
  9.|-- 100ge7-1.core1.lon2.he.ne  0.0%     5  214.4 214.3 214.3 214.5   0.1
 10.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 11.|-- 138.197.244.65             0.0%     5  206.2 206.1 206.0 206.2   0.1
 12.|-- 138.197.250.81             0.0%     5  206.3 206.4 206.3 206.5   0.1
 13.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 14.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 15.|-- 142.93.229.233             0.0%     5  206.2 206.3 206.1 206.7   0.3
################ 192.241.161.231 ##########################
Start: 2021-06-20T14:15:14+0000
HOST: mh-pro-cl-scl-pr-p-2        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 66.203.113.1               0.0%     5    0.5   0.5   0.5   0.5   0.0
  2.|-- 10.10.0.1                  0.0%     5    0.2   5.8   0.2  28.1  12.4
  3.|-- 198.18.202.109             0.0%     5   56.0  55.9  55.0  56.6   0.6
  4.|-- v1103.core1.mia1.he.net    0.0%     5  122.0 108.5 100.4 122.0  11.1
  5.|-- 100ge0-35.core2.jax1.he.n 60.0%     5  107.1 107.0 106.9 107.1   0.1
  6.|-- 100ge16-1.core1.atl1.he.n  0.0%     5  129.5 129.7 129.4 130.8   0.6
  7.|-- 100ge3-1.core1.ash1.he.ne  0.0%     5  132.1 135.8 132.0 150.9   8.4
  8.|-- 100ge1-1.core1.nyc4.he.ne  0.0%     5  136.8 136.8 136.7 136.9   0.1
  9.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 10.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 11.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 12.|-- 192.241.161.231            0.0%     5  133.7 133.6 133.5 133.7   0.1
################ 192.241.165.30 ##########################
Start: 2021-06-20T14:15:27+0000
HOST: mh-pro-cl-scl-pr-p-2        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 66.203.113.1               0.0%     5    0.4   0.5   0.4   0.7   0.1
  2.|-- 10.10.0.1                  0.0%     5    0.2   0.3   0.2   0.4   0.1
  3.|-- 198.18.202.109             0.0%     5   54.8  54.9  54.6  55.6   0.4
  4.|-- v1103.core1.mia1.he.net    0.0%     5  109.2 103.4 100.4 109.2   4.3
  5.|-- 100ge0-35.core2.jax1.he.n 80.0%     5  107.0 107.0 107.0 107.0   0.0
  6.|-- 100ge16-1.core1.atl1.he.n  0.0%     5  129.5 129.4 129.4 129.5   0.0
  7.|-- 100ge3-1.core1.ash1.he.ne  0.0%     5  132.1 134.7 132.0 145.1   5.8
  8.|-- 100ge1-1.core1.nyc4.he.ne  0.0%     5  136.8 136.8 136.8 136.9   0.1
  9.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 10.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 11.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 12.|-- 192.241.165.30             0.0%     5  133.5 133.7 133.5 134.2   0.3
################ 192.241.207.189 ##########################
Start: 2021-06-20T14:15:39+0000
HOST: mh-pro-cl-scl-pr-p-2        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 66.203.113.1               0.0%     5    0.4   0.4   0.4   0.6   0.1
  2.|-- 10.10.0.1                  0.0%     5    0.5   0.3   0.2   0.5   0.1
  3.|-- 195.22.221.78              0.0%     5    0.8   0.9   0.8   0.9   0.0
  4.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  5.|-- 149.3.181.65               0.0%     5  134.0 133.9 133.8 134.0   0.1
  6.|-- ae-8.r20.nwrknj03.us.bb.g  0.0%     5  146.9 146.6 146.2 146.9   0.3
  7.|-- ae-0.r21.nwrknj03.us.bb.g  0.0%     5  148.2 147.5 146.2 149.7   1.4
  8.|-- ae-3.r22.chcgil09.us.bb.g  0.0%     5  156.6 156.5 156.1 156.6   0.2
  9.|-- ae-1.r23.chcgil09.us.bb.g  0.0%     5  156.2 157.8 156.2 161.6   2.3
 10.|-- ae-1.r24.snjsca04.us.bb.g  0.0%     5  207.0 201.6 199.9 207.0   3.0
 11.|-- ae-3.r05.plalca01.us.bb.g  0.0%     5  197.5 197.5 197.4 197.7   0.1
 12.|-- ae-1.digital-ocean.plalca  0.0%     5  201.4 201.4 201.3 201.4   0.0
 13.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 14.|-- 192.241.207.189            0.0%     5  197.8 197.8 197.8 197.9   0.0
################ 2.58.44.62 ##########################
Start: 2021-06-20T14:16:00+0000
HOST: mh-pro-cl-scl-pr-p-2        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 66.203.113.1               0.0%     5    0.4   0.6   0.4   0.9   0.2
  2.|-- 10.10.0.1                  0.0%     5    0.2   0.2   0.2   0.3   0.0
  3.|-- 198.18.202.109             0.0%     5   55.9  55.4  54.9  55.9   0.5
  4.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  5.|-- be2027.ccr22.mia01.atlas.  0.0%     5  100.8 101.0 100.8 101.5   0.3
  6.|-- be3483.ccr42.atl01.atlas.  0.0%     5  114.1 114.2 114.1 114.4   0.1
  7.|-- be2113.ccr42.dca01.atlas.  0.0%     5  125.0 125.1 125.0 125.3   0.1
  8.|-- be2807.ccr42.jfk02.atlas.  0.0%     5  130.7 130.7 130.5 130.9   0.2
